CUST_NO,CLIENT_SEGMENT,FULL_NAME,ENTITY_NAME,DOB,SEX,TAX_ID,COMPANY_REG_NO,NZBN,ADDR_1,ADDR_2,ADDR_3,CONTACT_PH_1,CONTACT_PH_2,EMAIL_ADDR,OCCUPATION_CD,EMPLOYER,INCOME_BAND,ONBOARD_DT,KYC_VERIFIED,KYC_LAST_REVIEW,AML_RISK,PEP_IND,PRODUCT_CODES,ACCT_CNT,TOTAL_DEP_BAL,TOTAL_LOAN_BAL,INTERNAL_RISK_GRADE,HOME_BRANCH_CD,E_STATEMENTS,DECEASED_IND,STATUS
00401592,RETAIL,"POHATU, DAVID",,18-SEP-1946,M,136825604,,,11/235 TOTARA TCE,MOUNT MAUNGANUI,TAURANGA 3116,021-2266484,(07) 9929698,,BUIL,TE WHATU ORA,C: 70-120K,24-MAY-2003,Y,28-AUG-2020,L,N,CHQ|MTG|SAV|TD,4,35083.06,140088.91,2,BR111,N,N,A
00402916,RETAIL,"CHEN, CHRISTOPHER",,16-JUN-1949,M,137811712,,,56 SEAVIEW DR,,AUCKLAND 1024,021-4250785,(09) 9566055,CHRISTOPHER21@GMAIL.COM,PUBL,MINISTRY OF EDUCATION,A: <30K,04-JAN-2020,Y,22-APR-2018,M,N,CC|CHQ,3,29786.54,0.0,2,BR150,N,N,A
00400713,RETAIL,"SMITH, RUBY",,30-JAN-1986,F,134181639,,,12/177 QUEEN AVE,JOHNSONVILLE,WELLINGTON 6037,+64216403469,(04) 6289002,RUBY39@XTRA.CO.NZ,TRUC,TE WHATU ORA,B: 30-70K,01-NOV-2010,N,23-NOV-2021,H,N,CC|PL|TD,4,4343.48,0.0,6,BR107,N,N,D
00400803,RETAIL,"FALEOLO, WILLIAM",,29-NOV-1991,M,105045208,,,227 VICTORIA TCE,,HAMILTON 3210,0279810324,(09) 3171564,,RETI,SELF,B: 30-70K,18-AUG-1988,Y,29-NOV-2021,L,N,MTG|PL|SAV,2,342.65,738848.68,3,BR127,Y,N,A
00403666,RETAIL,"ROSSI, JAMES L",,21-OCT-1984,M,136253588,,,169 CHURCH DR,CHARTWELL,HAMILTON 3210,027-5536767,(07) 8317785,,TRUC,AIR NEW ZEALAND,B: 30-70K,16-JAN-2013,Y,28-AUG-2019,L,N,INS|MTG|TD,2,3966.16,557900.43,1,BR138,Y,N,A
00400942,RETAIL,"TE RANGI, SARAH K",,15-JAN-1967,F,126165924,,,116 ALBERT DR,PONSONBY,AUCKLAND 1011,+64293624840,(09) 5177049,SARAH76@HOTMAIL.COM,TRUC,TE WHATU ORA,D: 120K+,11-JUN-2007,Y,19-FEB-2023,M,N,CC,1,4198.35,0.0,5,BR133,N,N,A
00401748,RETAIL,"SCOT,T BENJAMIN",,07-JUL-1990,M,,,,2/110 KERERU CRES,,AUCKLAND 0622,0298091803,,,NURS,AIR NEW ZEALAND,B: 30-70K,11-MAY-2008,Y,15-OCT-2022,H,N,CC|PL|SAV,2,89698.38,0.0,5,BR124,N,N,A
00403958,RETAIL,"REID, HANNAH",,03-MAR-1991,F,127665582,,,137 TOTARA AVE,PAPANUI,CHRISTCHURCH 8053,+64297238055,,,SALE,SPARK,B: 30-70K,09-JAN-2000,Y,12-OCT-2018,H,N,INS,1,211.65,0.0,3,BR100,Y,N,A
00402060,RETAIL,"AHMED, WILLIAM",,30-NOV-1956,M,103345020,,,18 RANUI DR,SUMNER,CHRISTCHURCH 8081,+64228224018,(03) 9752389,WILLIAM61@GMAIL.COM,BUIL,AUCKLAND COUNCIL,B: 30-70K,29-DEC-2003,N,17-FEB-2018,M,N,CC|SAV,3,5800.42,0.0,4,BR117,Y,N,A
00403006,RETAIL,"TUHIWAI, HEMI",,13-SEP-1973,M,124298893,,,17 CHURCH RD,KELBURN,WELLINGTON 6012,,(04) 9245036,HEMI86@XTRA.CO.NZ,STUD,SELF,D: 120K+,17-JAN-2019,N,23-JAN-2021,M,N,CHQ|INS|PL,2,17897.43,0.0,3,BR119,Y,N,A
00400788,RETAIL,"CLARKE, AROHA",,14-FEB-1944,F,104744932,,,4 MATAI TCE,PAPANUI,CHRISTCHURCH 8053,0222302948,(03) 4519382,AROHA53@XTRA.CO.NZ,RETA,SPARK,C: 70-120K,27-MAY-1999,Y,28-JUN-2022,M,N,CC|TD,2,13977.47,0.0,4,BR120,Y,N,A
00401464,RETAIL,"CAMPBELL, NIKOLAI L",,08-JAN-1958,M,124577934,,,162 CLYDE AVE,ROSLYN,DUNEDIN 9010,0228763317,,,PUBL,TE WHATU ORA,D: 120K+,22-DEC-2021,Y,31-MAY-2022,L,N,CHQ|PL|SAV,2,3372.37,0.0,1,BR131,N,N,A
00401725,RETAIL,"PARATA, CALLUM",,13-JUL-2001,M,113747355,,,237 RANUI CRES,CHARTWELL,HAMILTON 3210,+64297589752,(07) 7607194,CALLUM94@GMAIL.COM,TEAC,KENDRIX ENGINEERING LTD,A: <30K,20-OCT-2011,Y,29-AUG-2024,M,N,CC|CHQ|TD,2,8883.32,0.0,6,BR142,Y,N,D
00402614,RETAIL,"AHMED, SAM P",,09-MAY-1944,M,136616582,,,147 CHURCH RD,TAKAPUNA,AUCKLAND 0622,+64229804415,,SAM24@GMAIL.COM,UNEM,FLETCHER BUILDING,B: 30-70K,28-AUG-2010,Y,14-JUN-2019,M,N,CHQ|INS|MTG,2,8321.3,474571.27,2,BR132,Y,N,D
00403480,RETAIL,"O'BRIEN, CHLOE",,30-JUL-1956,F,117736352,,,72 CHURCH ST,ROSLYN,DUNEDIN 9010,+64222114728,(03) 7235411,,DOCT,TE WHATU ORA,A: <30K,08-JUN-2019,Y,03-FEB-2021,M,N,PL|SAV,3,21725.95,0.0,1,BR141,N,N,A
00400311,RETAIL,"VAN DER BERG, ANNA",,24-SEP-1990,F,123222712,,,89 CHURCH AVE,RICCARTON,CHRISTCHURCH 8011,022-7386219,(07) 9906152,,STUD,SOUTHERN CROSS FREIGHT LTD,B: 30-70K,15-AUG-2006,Y,15-JUN-2025,M,N,CC|MTG,4,894.59,372825.67,3,BR104,N,N,A
00402894,RETAIL,"O'BRIEN, LUCY",,01-APR-1982,F,121371672,,,61 TOTARA DR,PAPAMOA,TAURANGA 3118,021-4619957,,,UNEM,AIR NEW ZEALAND,B: 30-70K,11-JUL-2007,Y,13-APR-2024,M,N,MTG|TD,1,15806.77,387315.2,5,BR100,Y,N,A
00400061,RETAIL,"WILSON, AROHA L",,12-DEC-2006,F,102549812,,,199 GREAT NORTH PL,,DUNEDIN 9011,0273446690,(07) 3587246,AROHA22@HOTMAIL.COM,ELEC,HARBOURVIEW AGED CARE LTD,D: 120K+,24-DEC-2005,Y,16-DEC-2019,L,N,CC|SAV,3,7020.35,0.0,3,BR150,N,N,A
00400348,RETAIL,"JOHANSSON, SOPHIE",,26-OCT-1998,F,129524056,,,157 CHURCH TCE,ST CLAIR,DUNEDIN 9012,+64214089887,,SOPHIE94@HOTMAIL.COM,ELEC,SELF,A: <30K,09-AUG-2021,Y,01-SEP-2023,L,N,INS|MTG|PL,4,24192.44,267016.49,2,BR143,Y,N,D
00400587,RETAIL,"MCDONALD, MICHAEL L",,18-FEB-1944,M,106103724,,,31 SEAVIEW AVE,MOUNT MAUNGANUI,TAURANGA 3116,0276842844,(07) 2967082,MICHAEL17@GMAIL.COM,DOCT,COUNTDOWN,B: 30-70K,17-DEC-2007,Y,21-DEC-2021,M,N,CC|SAV|TD,3,1741.99,0.0,5,BR103,N,N,A
00401647,RETAIL,"AHMED, GRACE",,30-DEC-2002,F,124939541,,,8/185 ALBERT AVE,ST CLAIR,DUNEDIN 9012,029-1783387,(03) 6469861,GRACE61@GMAIL.COM,RETI,MINISTRY OF EDUCATION,A: <30K,20-AUG-2013,Y,21-APR-2019,M,N,PL|TD,1,764.48,0.0,2,BR128,N,N,A
00402893,RETAIL,"NGATA, HAMISH",,26-OCT-1941,M,121484720,,,222 TOTARA TCE,ST CLAIR,DUNEDIN 9012,+64292699077,,,STUD,KENDRIX ENGINEERING LTD,A: <30K,18-NOV-2012,Y,28-JAN-2024,H,N,CC|INS|MTG|PL,1,2260.39,727791.19,4,BR143,Y,N,A
00403073,RETAIL,"SCOTT, SOPHIE M",,02-DEC-1955,F,129730941,,,10/201 TUI CRES,PAPAMOA,TAURANGA 3118,022-6210969,,SOPHIE40@XTRA.CO.NZ,ELEC,,B: 30-70K,28-JAN-2011,Y,15-OCT-2021,L,N,CC|MTG|PL,3,68092.94,215385.89,5,BR108,N,N,A
00401806,RETAIL,"CAMPBELL, NELL P",,11-JUN-1951,F,139659222,,,8/38 STATION PL,PAPANUI,CHRISTCHURCH 8053,0218962423,,NELL93@HOTMAIL.COM,LAWY,SOUTHERN CROSS FREIGHT LTD,B: 30-70K,11-DEC-2006,Y,07-DEC-2022,H,N,MTG|SAV,2,7989.4,293429.73,1,BR137,N,N,A
00402237,RETAIL,"YOUNG, ANANYA",,04-AUG-1988,F,137594115,,,233 PARK ST,MORNINGTON,DUNEDIN 9011,0271762393,(03) 8375902,,BUIL,FLETCHER BUILDING,B: 30-70K,07-FEB-1993,N,24-MAR-2026,L,N,CC|CHQ,3,13221.25,0.0,2,BR159,N,N,A
00404286,SME,,HARBOUR LIGHTS PHARMACY,,,106859917,4570089,,95 CLYDE TCE,FRANKTON,HAMILTON 3204,(07) 2738224,,,,,,14-JUN-1990,N,05-AUG-2022,M,N,BCC|BSAV,3,127200.78,0,3,BR121,Y,N,A
00404532,SME,,KIWI COAST SEAFOODS,,,133596897,8166176,,54 ALBERT PL,MORNINGTON,DUNEDIN 9011,(03) 5259979,022-4003906,,,,,18-APR-2014,N,25-FEB-2020,M,N,BCC|BSAV|OD,3,9479.22,0,2,BR122,Y,N,A
00403712,RETAIL,"HARRIS, JENNIFER",,22-NOV-1960,F,121169676,,,210 MARINE AVE,SUMNER,CHRISTCHURCH 8081,022-2001112,,,TRUC,COUNTDOWN,B: 30-70K,26-JAN-1994,Y,22-SEP-2022,L,N,CHQ|PL|SAV,2,14992.95,0.0,1,BR154,N,N,A
00404550,RETAIL,"SCOTT, MEI",,01-DEC-1990,F,,,,231 VICTORIA PL,RICCARTON,CHRISTCHURCH 8011,029-7403706,(03) 8389398,,FARM,SELF,D: 120K+,13-NOV-1994,Y,21-MAY-2018,L,N,SAV,1,43713.77,0.0,2,BR119,Y,N,D
00400545,RETAIL,"MALCEOD, TANE M",,21-MAY-1987,M,113386279,,,4/22 VICTORIA RD,MORNINGTON,DUNEDIN 9011,029-4548199,,,ACCO,SOUTHERN CROSS FREIGHT LTD,A: <30K,11-NOV-2008,N,26-DEC-2025,L,N,CHQ|MTG|PL,3,4201.09,694462.56,2,BR102,N,N,A
00400176,RETAIL,"VAN DER BERG, CHARLOTTE J",,31-MAR-1942,F,134005406,,,56 KOWHAI DR,,WELLINGTON 6021,+64211899652,,,ACCO,AIR NEW ZEALAND,D: 120K+,18-DEC-1989,Y,10-JAN-2025,L,N,CHQ|MTG|PL|SAV,3,2852.05,787643.38,6,BR137,Y,N,A
00404396,CORP,,MAHI RECRUITMENT LTD,,,129966424,3498984,9429766224268,42 QUEEN AVE,HALSWELL,CHRISTCHURCH 8025,(03) 6727257,,,,,,15-SEP-2010,N,08-JUN-2021,M,N,BCC|BCHQ|BSAV,6,3797.1,0,5,BR139,Y,N,A
00403391,RETAIL,"FALEOLO, MEI",,14-MAY-1984,F,127268219,,,166 MATAI DR,ST CLAIR,DUNEDIN 9012,027-7771012,,,NURS,SPARK,D: 120K+,25-APR-2012,N,20-AUG-2024,L,N,CC|MTG|SAV,4,11934.37,577809.12,4,BR145,Y,N,A
00404355,SME,,BLUE PENGUIN TOURS LIMITED,,,121583997,3921629,9429934289726,213 HILL CRES,CHARTWELL,HAMILTON 3210,(07) 2274358,,,,,,29-JUN-2024,Y,27-MAY-2018,M,N,BCC|OD|TD,4,72993.9,1500000,4,BR121,Y,N,A
00400664,RETAIL,"WILLIAMS, OLIVIA",,01-JAN-1997,F,,,,2/121 RATA CRES,FRANKTON,HAMILTON 3204,+64293898417,(07) 9821418,,SALE,,A: <30K,20-MAR-2009,Y,22-OCT-2021,M,N,CHQ|INS,2,4694.54,0.0,6,BR109,Y,N,A
00403361,RETAIL,"MARTIN, BENJAMIN",,23-OCT-1944,M,137840252,,,111 PARK AVE,HILLCREST,HAMILTON 3216,+64273128314,,BENJAMIN46@HOTMAIL.COM,PUBL,FLETCHER BUILDING,B: 30-70K,11-JUL-2017,Y,13-OCT-2019,L,N,INS|MTG|PL,3,2360.25,554779.1,4,BR102,Y,N,A
00401043,RETAIL,"MITCHELL, ANTHONY",,25-JUN-1985,M,102062527,,,214 ALBERT DR,,DUNEDIN 9011,0222846903,,ANTHONY45@GMAIL.COM,BUIL,SPARK,C: 70-120K,05-DEC-2011,Y,25-OCT-2022,L,N,PL,3,17102.93,0.0,6,BR123,Y,N,A
00402696,RETAIL,"PATEL, TANE",,19-JAN-1966,M,118462134,,,128 BEACH RD,MORNINGTON,DUNEDIN 9011,+64274445338,(03) 5617240,TANE30@GMAIL.COM,PUBL,HARBOURVIEW AGED CARE LTD,B: 30-70K,06-APR-2024,Y,07-DEC-2021,H,N,INS|PL|TD,3,6165.42,0.0,3,BR129,N,N,A
00402203,RETAIL,"TE RANGI, CHLOE",,22-JUN-1942,F,115397725,,,1/89 CHURCH AVE,,AUCKLAND 1050,+64296311577,(03) 3828273,CHLOE94@GMAIL.COM,RETA,SPARK,C: 70-120K,13-APR-1996,Y,18-FEB-2023,M,N,INS|MTG,4,1419.52,268835.57,1,BR121,Y,N,A
00400673,RETAIL,"POHATU, GRACE",,09-OCT-1951,F,,,,50 ALBERT CRES,PONSONBY,AUCKLAND 1011,027-5755463,,GRACE90@HOTMAIL.COM,SOFT,HARBOURVIEW AGED CARE LTD,B: 30-70K,03-JUN-2023,Y,12-APR-2020,L,N,CC|TD,4,193556.6,0.0,6,BR122,Y,N,A
00402592,RETAIL,"O'BRIEN, XIN",,09-JUN-1966,F,117103174,,,151 KERERU RD,CHARTWELL,HAMILTON 3210,022-6002812,(07) 4096463,,ENGI,SPARK,D: 120K+,28-APR-2009,Y,18-APR-2022,L,N,CC|MTG|PL|TD,4,16990.72,656854.57,6,BR147,N,N,A
00401486,RETAIL,"CLARKE, SUSAN G",,16-FEB-1992,F,112682929,,,97 HILL AVE,MERIVALE,CHRISTCHURCH 8014,0297786314,,SUSAN97@XTRA.CO.NZ,LAWY,AUCKLAND COUNCIL,D: 120K+,19-MAY-2020,Y,17-JUN-2022,L,N,CHQ|SAV,2,24773.22,0.0,4,BR126,Y,N,A
00404339,SME,,Sunrise Childcare Centre Ltd,,,105460715,3990024,,222 CLYDE RD,PONSONBY,AUCKLAND 1011,(09) 2732253,,,,,,30-APR-2020,Y,15-JUN-2023,M,N,BCC|EQF,6,385826.82,0,2,BR131,Y,N,A
00403121,RETAIL,"FONOTI, OLIVER",,02-SEP-1974,M,114749827,,,89 KOWHAI DR,MOUNT MAUNGANUI,TAURANGA 3116,+64228906644,,OLIVER11@HOTMAIL.COM,NURS,SOUTHERN CROSS FREIGHT LTD,A: <30K,18-OCT-2009,Y,31-OCT-2021,M,N,MTG|PL|SAV|TD,2,4910.44,720605.62,1,BR143,N,N,D
00404409,SME,,Wharf Street Motors Ltd,,,,7232363,9429550871800,17 KERERU TCE,OTUMOETAI,TAURANGA 3110,(07) 3743648,,,,,,11-MAY-1996,N,08-NOV-2021,M,N,BCC|BSAV|EQF,2,86841.18,0,3,BR142,Y,N,A
00401398,RETAIL,"MACLEOD, PETER J",,08-JAN-1980,M,100807135,,,71 CLYDE RD,,DUNEDIN 9010,029-3211646,,,ELEC,AIR NEW ZEALAND,B: 30-70K,26-JUN-1997,Y,19-MAR-2020,H,N,CC|MTG|PL|TD,1,10661.52,734892.39,1,BR100,N,N,D
00401152,RETAIL,"ROBINSON, HELEN",,31-JAN-1963,F,104519751,,,11 CHURCH ST,HALSWELL,CHRISTCHURCH 8025,+64224508887,,,TEAC,SPARK,C: 70-120K,09-NOV-2018,N,20-FEB-2023,L,N,PL|SAV|TD,1,1899.9,0.0,6,BR159,N,N,A
00403884,RETAIL,"ANDERSON, TONY",,03-MAY-2002,M,124088080,,,3 SEAVIEW DR,RICCARTON,CHRISTCHURCH 8011,021-9885116,,,SELF,SPARK,B: 30-70K,20-MAY-1998,N,21-APR-2026,H,N,CC|CHQ|INS,2,1082.33,0.0,3,BR153,Y,N,A
00402598,RETAIL,"NGATA, ETHAN",,03-AUG-1980,M,114103019,,,110 QUEEN ST,NEWTOWN,WELLINGTON 6021,+64213847172,(04) 5949912,ETHAN45@GMAIL.COM,ACCO,AIR NEW ZEALAND,A: <30K,16-SEP-1991,Y,30-APR-2025,M,N,INS,1,71605.88,0.0,3,BR150,N,N,A
00401033,RETAIL,"WANG, RAWIRI",,13-MAY-1959,M,,,,167 RATA CRES,,DUNEDIN 9010,0279678764,,,TRUC,MINISTRY OF EDUCATION,B: 30-70K,06-APR-2021,Y,02-DEC-2023,L,N,CC|INS|SAV,3,27325.86,0.0,1,BR141,N,N,D
00402640,RETAIL,"REI,D MATEO L",,23-MAR-1993,M,106753452,,,114 CHURCH PL,,WELLINGTON 6012,0217194868,(04) 6275744,,SOFT,FLETCHER BUILDING,D: 120K+,29-MAR-2012,Y,27-SEP-2023,L,N,INS|TD,1,6270.96,0.0,2,BR141,Y,N,A
00400755,RETAIL,"HUGHES, MATTHEW",,18-MAY-2003,M,103257687,,,53 MANUKA CRES,,AUCKLAND 1011,+64293038728,,MATTHEW28@GMAIL.COM,RETI,COUNTDOWN,A: <30K,24-DEC-2022,N,26-OCT-2025,L,N,CC|MTG,4,18490.97,463587.75,4,BR146,N,N,A
00400384,RETAIL,"ROBINSON, TEVITA",,30-SEP-1960,M,,,,3/109 MARINE DR,,WELLINGTON 6012,022-5501618,(09) 2049265,TEVITA96@XTRA.CO.NZ,TRUC,FONTERRA,A: <30K,31-DEC-1993,Y,04-JUL-2026,M,N,INS|TD,3,50029.67,0.0,2,BR110,N,N,A
00400811,RETAIL,"SCOTT, ARJUN",,25-MAY-1971,M,119921924,,,169 CLYDE RD,MOUNT MAUNGANUI,TAURANGA 3116,027-3672743,,ARJUN83@GMAIL.COM,BUIL,AIR NEW ZEALAND,A: <30K,18-JUL-1994,N,12-FEB-2021,M,N,MTG|SAV,3,38032.31,354985.22,6,BR108,N,N,D
00400231,RETAIL,"BROWN, SUSAN",,19-JUN-1957,F,,,,48 MARINE CRES,FRANKTON,HAMILTON 3204,0277424328,,SUSAN61@XTRA.CO.NZ,SELF,SELF,B: 30-70K,12-AUG-2019,Y,27-JUN-2020,L,N,PL,2,17439.81,0.0,1,BR156,N,N,A
00400505,RETAIL,"CAMPBELL, JAMES",,25-OCT-1985,M,112341215,,,228 CHURCH RD,ST CLAIR,DUNEDIN 9012,022-5153655,(03) 6618532,JAMES74@XTRA.CO.NZ,DOCT,AIR NEW ZEALAND,B: 30-70K,24-JUN-2003,Y,11-MAR-2025,H,N,INS|MTG|PL|SAV,3,61548.69,776730.72,4,BR119,Y,N,A
00402924,RETAIL,"WHITE, ZOE",,12-JAN-1947,F,139823332,,,11/188 NIKAU CRES,MORNINGTON,DUNEDIN 9011,027-3353590,(03) 2437646,,CHEF,SELF,A: <30K,01-DEC-1990,Y,04-JUN-2025,L,N,INS|MTG,4,24334.57,714118.71,1,BR151,N,N,A
00402979,RETAIL,"WHITE, RAWIRI K",,16-NOV-1944,M,,,,123 BEACH CRES,PAPAMOA,TAURANGA 3118,,(07) 2174418,RAWIRI79@HOTMAIL.COM,ELEC,FONTERRA,D: 120K+,22-JUN-1998,Y,16-JAN-2023,L,N,PL|SAV,2,1761.8,0.0,1,BR100,Y,N,A
00400002,RETAIL,"NGUYEN, ZOE",,22-JUL-1992,F,,,,52 VICTORIA ST,PAPATOETOE,AUCKLAND 2025,0214896120,(09) 7961789,,ELEC,,D: 120K+,10-JUL-2011,N,01-APR-2024,M,N,CC|CHQ,4,44328.81,0.0,6,BR122,Y,N,A
00402557,RETAIL,"THOMPSON, ANAHERA P",,18-NOV-2007,F,106681747,,,110 KERERU CRES,MOUNT EDEN,AUCKLAND 1024,027-2766423,(09) 6877568,,SALE,HARBOURVIEW AGED CARE LTD,B: 30-70K,30-JUL-2024,Y,30-MAY-2022,H,N,CC|INS,4,13318.38,0.0,2,BR123,Y,N,A
00403576,RETAIL,"NGATA, ANDREW J",,29-DEC-1996,M,139142973,,,96 HARBOUR TCE,JOHNSONVILLE,WELLINGTON 6037,,,,SALE,SELF,B: 30-70K,02-SEP-2022,N,22-DEC-2024,L,N,INS|SAV,3,8551.88,0.0,1,BR149,N,N,A
00404452,SME,,MOUNTAIN VIEW ORCHARDS,,,,4642222,9429383915699,20 SEAVIEW AVE,KARORI,WELLINGTON 6012,(04) 4949343,,,,,,02-JUL-2019,Y,21-MAY-2022,M,N,OD,4,74844.3,80000,2,BR147,Y,N,A
00403550,RETAIL,"STEAWRT, SUE",,24-APR-1969,F,134361757,,,33 GREAT NORTH DR,ST CLAIR,DUNEDIN 9012,,(03) 2226222,SUE52@HOTMAIL.COM,SELF,AUCKLAND COUNCIL,C: 70-120K,19-AUG-2013,Y,24-JUN-2018,L,N,CHQ|INS|PL,3,159768.21,0.0,4,BR145,N,N,D
00404083,CORP,,Lakeside Motor Group Ltd,,,,3266969,9429222970235,145 KAURI RD,CHARTWELL,HAMILTON 3210,(07) 8468714,,,,,,20-SEP-2016,Y,11-MAY-2021,H,N,BCHQ|OD,2,12652.86,0,4,BR117,Y,N,A
00402384,RETAIL,"PARATA, TOM",,11-JAN-1940,M,100853352,,,193 SEAVIEW DR,RICCARTON,CHRISTCHURCH 8011,+64223894183,(03) 5837411,TOM90@XTRA.CO.NZ,NURS,FLETCHER BUILDING,D: 120K+,23-AUG-1995,N,19-APR-2021,M,N,MTG|PL,4,39355.65,685768.41,6,BR107,Y,N,A
00404111,SME,,HARVEST FOOD MANUFACTURING LIMITED,,,118856184,1025844,9429357674446,112 GREAT NORTH CRES,FRANKTON,HAMILTON 3204,(07) 3751938,+64279501191,,,,,28-MAR-2006,Y,04-MAY-2023,H,N,TD,5,51201.12,80000,4,BR101,Y,N,A
00400806,RETAIL,"NGUYEN, SOPHIE M",,06-MAY-1985,F,137906396,,,8/174 POHUTUKAWA TCE,,DUNEDIN 9010,0219671032,,SOPHIE92@GMAIL.COM,TRUC,TE WHATU ORA,D: 120K+,11-MAY-2025,N,18-AUG-2026,H,N,CHQ|PL,2,4449.97,0.0,3,BR114,Y,N,A
00401995,RETAIL,"TE RANGI, ELIZABETH",,12-FEB-2000,F,132430135,,,88 CLYDE DR,CHARTWELL,HAMILTON 3210,,(07) 3858488,,ACCO,KENDRIX ENGINEERING LTD,B: 30-70K,29-MAR-1993,Y,23-JUL-2026,M,N,CC|INS,2,4320.72,0.0,5,BR150,N,N,A
00402764,RETAIL,"SHARMA, GRACE",,19-MAR-1956,F,,,,184 QUEEN TCE,HILLCREST,HAMILTON 3216,,,,ELEC,SELF,D: 120K+,06-FEB-2025,N,17-MAR-2021,H,N,MTG|PL|SAV|TD,2,29195.08,408170.81,2,BR160,N,N,A
00401505,RETAIL,"MACLEOD, FIONA",,13-MAR-1966,F,124865694,,,210 HARBOUR TCE,PAPAMOA,TAURANGA 3118,+64291064376,(07) 7693261,,ENGI,,C: 70-120K,07-APR-1999,Y,14-FEB-2025,M,N,CHQ|SAV,1,145096.51,0.0,5,BR150,Y,N,A
00402294,RETAIL,"MCDONALD, ANANYA",,04-DEC-2002,F,130342744,,,50 CLYDE TCE,ST CLAIR,DUNEDIN 9012,021-8170972,(03) 5162071,,STUD,SELF,C: 70-120K,03-DEC-1994,Y,18-OCT-2021,L,N,CC|CHQ|MTG|SAV,3,12003.29,646630.84,4,BR119,N,N,A
