customer_id,customer_type,title,first_name,middle_name,last_name,business_name,trading_name,date_of_birth,gender,ird_number,nzbn,email,mobile_phone,landline_phone,street_address,suburb,city,postcode,country,occupation,employer_name,annual_income_nzd,customer_since,kyc_status,aml_risk_rating,pep_flag,num_accounts,products_held,total_deposits_nzd,total_lending_nzd,credit_score,preferred_branch,online_banking_active,marketing_opt_in,customer_status
HB-10416,Individual,Dr,Andrew,Grace,Williams,,,1990-10-10,M,105-980-812,,andrew.williams@xtra.co.nz,027 244 9777,07 670 6156,"Unit 11, 166 Kowhai Road",Mount Maunganui,Tauranga,3116,NZ,Public Servant,Southern Cross Freight Ltd,240000,2010-02-20,Verified,Medium,N,5,Credit Card;KiwiSaver;Savings,11439.7,3500,397,Tauranga Central,N,N,Active
HB-11284,Business,,,,,Summit Roofing Supplies Limited,,,,131-036-371,9429356116491,accounts@summitroofingsuppl.co.nz,027 961 1617,07 842 6633,229 Manuka Place,Mount Maunganui,Tauranga,3116,NZ,,,250000,2006-02-16,Verified,Medium,N,1,Business Everyday;Business Savings;Merchant Services;Overdraft,69968.7,1200000,,Tauranga Business Centre,Y,Y,Active
HB-10589,Individual,Miss,Jessica,Lee,Harris,,,1942-02-26,F,137-221-197,,jessica.harris@outlook.com,021 112 0843,04 894 5184,212 Seaview Place,Johnsonville,Wellington,6037,NZ,Lawyer,Air New Zealand,160000,2007-10-06,Pending,Low,N,1,Credit Card,264568.77,3500,932,Wellington Central,Y,Y,Active
HB-10569,Individual,Mr,Benjamin,,Mitchell,,,1960-10-19,M,101-387-187,,benjamin.mitchell@outlook.com,027 869 7039,09 998 2407,1 Nikau Drive,Ponsonby,Auckland,1011,NZ,Electrician,Southern Cross Freight Ltd,85000,2014-07-31,Verified,Low,N,2,Everyday;KiwiSaver;Savings;Term Deposit,11196.94,3500,756,Auckland Central,Y,Y,Active
HB-10440,Individual,Mrs,Hannah,,Reid,,,1964-04-12,F,120-152-256,,hannah.reid@gmail.com,029 355 6399,,"Unit 3, 6 Totara Drive",Newtown,Wellington,6021,NZ,Self-employed,Ministry of Education,52000,2016-05-12,Verified,Low,N,1,Credit Card;Everyday;Savings,81700.59,0,547,Wellington Central,Y,Y,Active
HB-11060,Individual,Dr,Rachel,Marie,Te Rangi,,,1946-03-22,F,121-903-743,,rachel.terangi@xtra.co.nz,021 765 8740,,214 Harbour Place,Papamoa,Tauranga,3118,NZ,Doctor,Self,85000,1996-12-05,Pending,Low,N,1,Savings;Term Deposit,1536.92,0,704,Tauranga Central,Y,Y,Active
HB-10947,Individual,Mr,Arjun,,Fitzgerald,,,1969-09-14,M,134-120-186,,arjun.fitzgerald@outlook.com,027 285 3699,03 242 9680,202 Great North Drive,St Clair,Dunedin,9012,NZ,Truck Driver,Kendrix Engineering Ltd,160000,2018-04-08,Verified,Low,N,3,Everyday;Home Loan;KiwiSaver;Personal Loan,38395.79,674269.01,717,Dunedin Central,Y,N,Active
HB-11034,Individual,Dr,Naomi,John,Kim,,,1994-11-09,F,118-531-608,,naomi.kim@xtra.co.nz,022 410 3116,,"Unit 5, 51 Great North Drive",Frankton,Hamilton,3204,NZ,Doctor,,0,2020-09-28,Verified,Medium,N,3,Credit Card;Savings;Term Deposit,118996.6,3500,475,Hamilton Central,Y,Y,Active
HB-10379,Individual,Mr,Daniel,,Campbell,,,1998-04-22,M,131-211-256,,daniel.campbell@gmail.com,029 776 1132,07 811 2946,48 Marine Avenue,Frankton,Hamilton,3204,NZ,Student,Fletcher Building,18000,2010-01-28,Verified,Medium,N,5,KiwiSaver,10302.79,0,375,Hamilton Central,Y,Y,Active
HB-10755,Individual,Dr,William,,Campbell,,,2000-07-25,M,122-850-476,,william.campbell@outlook.com,021 183 7735,,188 Marine Crescent,Halswell,Christchurch,8025,NZ,Self-employed,,68000,2012-07-18,Expired,Low,N,5,Everyday;Personal Loan;Savings;Term Deposit,14262.75,0,703,Christchurch Central,N,N,Active
HB-10097,Individual,Miss,Emily,John,Anderson,,,1944-01-31,F,109-065-207,,emily.anderson@outlook.com,027 506 4688,07 956 7130,111 Hill Avenue,Hillcrest,Hamilton,3216,NZ,Builder,Countdown,18000,2004-09-20,Verified,Medium,N,1,Credit Card;Everyday;Home Loan;KiwiSaver;Personal Loan,326923.55,841227.15,843,Hamilton Central,N,Y,Active
HB-11259,Business,,,,,Bay Boatbuilders Limited,,,,112-792-577,,accounts@bayboatbuilders.co.nz,,03 706 5759,170 Beach Road,St Clair,Dunedin,9012,NZ,,,8000000,2025-12-20,Pending,Low,N,3,Business Everyday;Merchant Services;Term Deposit,271173.0,250000,,Dunedin Business Centre,Y,Y,Active
HB-10786,Individual,Mr,Samuel,James,Tipene,,,1980-12-27,M,100-318-736,,,029 707 3450,04 672 7254,123 Victoria Road,Johnsonville,Wellington,6037,NZ,Builder,Ministry of Education,240000,2003-05-15,Verified,High,N,1,Credit Card;Everyday;KiwiSaver;Savings,4383.71,12000,727,Wellington Central,Y,Y,Active
HB-10276,Individual,Dr,Joshua,Anne,White,,,2001-05-12,M,138-773-148,,joshua.white@outlook.com,021 111 6345,03 622 2499,"Unit 9, 188 Pohutukawa Place",Mornington,Dunedin,9011,NZ,Self-employed,Ministry of Education,52000,2021-02-08,Verified,Low,N,3,Everyday;Home Loan;KiwiSaver,7235.99,220323.12,734,Dunedin Central,N,N,Active
HB-10833,Individual,Mrs,Olivia,,Williams,,,1997-01-01,F,133-190-748,,olivia.williams@gmail.com,029 389 8417,07 982 1418,154 Kereru Drive,Hillcrest,Hamilton,3216,NZ,Sales Manager,,18000,2022-04-10,Pending,Medium,N,5,Credit Card;Home Loan;Personal Loan,8350.14,712064.84,378,Hamilton Central,N,N,Active
HB-10243,Individual,Ms,Lucy,,Smith,,,1962-07-31,F,124-646-549,,,022 338 8443,,170 Clyde Terrace,Papamoa,Tauranga,3118,NZ,Builder,,160000,2025-09-17,Expired,Low,N,2,Credit Card;Personal Loan;Savings,9344.46,0,547,Tauranga Central,Y,N,Active
HB-11121,Individual,Ms,Aisha,Paul,Harris,,,1991-11-24,F,107-384-377,,aisha.harris@xtra.co.nz,021 338 5304,09 291 5277,88 Kauri Street,Takapuna,Auckland,0622,NZ,Sales Manager,Harbourview Aged Care Ltd,35000,2014-06-22,Verified,Low,N,4,Everyday;Home Loan;Personal Loan;Savings;Term Deposit,4110.92,258393.67,558,Auckland Central,Y,N,Active
HB-10510,Individual,Dr,Wei,Paul,Tuhiwai,,,1996-08-26,M,127-754-706,,wei.tuhiwai@gmail.com,021 163 4219,,182 Beach Crescent,St Clair,Dunedin,9012,NZ,Builder,Auckland Council,85000,1995-01-15,Verified,Low,N,3,Credit Card;Everyday;Savings,7053.54,0,720,Dunedin Central,Y,N,Active
HB-10982,Individual,Mr,Rawiri,,Wang,,,1959-05-13,M,,,rawiri.wang@xtra.co.nz,027 370 8001,,167 Rata Crescent,Roslyn,Dunedin,9010,NZ,Truck Driver,Ministry of Education,52000,1997-06-16,Expired,Low,N,2,Everyday;KiwiSaver;Personal Loan,1919.89,12000,860,Dunedin Central,Y,N,Active
HB-11261,Business,,,,,Metro Waste Solutions Limited,,,,110-746-453,9429854390999,accounts@metrowastesolution.co.nz,022 341 9335,07 554 8127,247 Great North Crescent,Chartwell,Hamilton,3210,NZ,,,1200000,1995-02-23,Pending,Medium,N,3,Business Everyday;Business Savings;Overdraft,130524.72,1200000,,Hamilton Business Centre,Y,Y,Active
HB-11023,Individual,Mr,Richard,Mei,White,,,1998-07-11,M,117-696-984,,richard.white@gmail.com,022 344 8541,,"Unit 11, 121 Nikau Road",Mornington,Dunedin,9011,NZ,Builder,Te Whatu Ora,240000,2024-01-26,Verified,High,N,5,Everyday;Home Loan;KiwiSaver,5491.14,835025.65,612,Dunedin Central,Y,N,Active
HB-11160,Business,,,,,Southern Cross Freight Limited,SX Freight,,,124-334-940,9429449216200,accounts@southerncrossfreig.co.nz,022 814 5832,07 801 9879,168 Totara Crescent,Mount Maunganui,Tauranga,3116,NZ,,,1200000,2002-02-28,Verified,Low,N,2,Business Credit Card;Overdraft;Term Deposit,190368.36,250000,,Tauranga Business Centre,Y,Y,Active
HB-10020,Individual,Ms,Mei,Paul,Faleolo,,,2000-11-01,F,136-883-194,,mei.faleolo@xtra.co.nz,027 949 1389,09 254 7125,104 Station Terrace,Papatoetoe,Auckland,2025,NZ,Sales Manager,Kendrix Engineering Ltd,240000,2024-01-18,Pending,Low,N,1,Credit Card;Home Loan;KiwiSaver;Personal Loan;Term Deposit,9183.87,708276.7,398,Auckland Central,N,N,Dormant
HB-11341,Business,,,,,Riverstone Veterinary Clinic Limited,,,,114-918-527,9429283768341,accounts@riverstoneveterina.co.nz,022 277 1605,07 597 8085,18 Totara Street,Papamoa,Tauranga,3118,NZ,,,8000000,1997-05-05,Pending,Low,N,2,Business Credit Card;Business Everyday;Merchant Services,47793.72,1200000,,Tauranga Business Centre,Y,Y,Active
HB-10584,Individual,Mr,Wei,,Reid,,,1969-02-19,M,118-659-182,,wei.reid@gmail.com,022 300 1649,03 625 2943,245 Tui Place,Halswell,Christchurch,8025,NZ,Accountant,Auckland Council,0,1998-10-31,Verified,High,N,4,KiwiSaver;Savings,5205.55,3500,731,Christchurch Central,N,N,Dormant
HB-11190,Business,,,,,Summit Roofing Solutions Limited,Summit Roofing,,,126-092-390,9429307340756,accounts@summitroofingsolut.co.nz,027 493 4397,04 795 1240,59 Beach Terrace,Kelburn,Wellington,6012,NZ,,,25000000,1996-04-18,Verified,Medium,N,5,Business Everyday;Overdraft,16663.68,1200000,,Wellington Business Centre,Y,N,Active
HB-11091,Individual,Mr,David,James,Fonoti,,,2000-01-26,M,111-264-010,,david.fonoti@outlook.com,029 916 5486,,46 Nikau Terrace,Frankton,Hamilton,3204,NZ,Unemployed,Fonterra,68000,2019-09-02,Expired,Medium,N,2,Personal Loan,39015.7,3500,654,Hamilton Central,Y,N,Dormant
HB-10735,Individual,Dr,Margaret,,Campbell,,,1954-08-06,F,108-557-312,,margaret.campbell@xtra.co.nz,027 892 0343,,9 Matai Crescent,Halswell,Christchurch,8025,NZ,Builder,Spark,68000,2012-10-28,Verified,Low,N,2,Everyday;KiwiSaver;Savings;Term Deposit,749.53,0,570,Christchurch Central,Y,N,Active
HB-10103,Individual,Mr,Thomas,Louise,Singh,,,1998-09-01,M,115-535-323,,thomas.singh@gmail.com,021 443 8096,,52 Hill Crescent,Miramar,Wellington,6022,NZ,Retail Assistant,Auckland Council,160000,2018-11-19,Verified,Medium,N,5,KiwiSaver,49220.57,0,831,Wellington Central,Y,Y,Active
HB-11111,Individual,Mrs,Aisha,,Fitzgerald,,,1964-12-03,F,130-147-776,,aisha.fitzgerald@gmail.com,027 171 5822,07 999 5001,52 Totara Crescent,Papamoa,Tauranga,3118,NZ,Truck Driver,Ministry of Education,240000,2007-07-19,Verified,Low,N,2,Everyday,2311.3,0,403,Tauranga Central,Y,Y,Active
HB-11131,Individual,Miss,Katherine,,Rossi,,,1970-03-18,F,122-023-266,,katherine.rossi@xtra.co.nz,029 492 8407,,86 Park Avenue,Karori,Wellington,6012,NZ,Truck Driver,Auckland Council,68000,2010-06-14,Pending,Low,N,4,Personal Loan;Savings;Term Deposit,4259.72,3500,618,Wellington Central,Y,N,Active
HB-10308,Individual,Miss,Rachel,John,Stewart,,,1956-09-30,F,110-465-721,,rachel.stewart@xtra.co.nz,022 735 9151,,113 Rimu Road,St Clair,Dunedin,9012,NZ,Sales Manager,Te Whatu Ora,68000,1996-04-13,Pending,Low,N,5,Credit Card;KiwiSaver;Term Deposit,2844.76,0,519,Dunedin Central,N,Y,Active
HB-10678,Individual,Miss,Rachel,,Chen,,,1948-06-16,F,121-413-063,,rachel.chen@gmail.com,027 527 9483,09 228 6854,218 Albert Street,Takapuna,Auckland,0622,NZ,Engineer,Kendrix Engineering Ltd,0,2015-02-25,Verified,Medium,N,3,Savings,35390.47,12000,909,Auckland Central,Y,Y,Active
HB-10774,Individual,Mrs,Aisha,Louise,MacLeod,,,1998-11-29,F,117-121-944,,aisha.macleod@xtra.co.nz,021 623 7303,,"Unit 4, 116 Matai Drive",Remuera,Auckland,1050,NZ,Teacher,Te Whatu Ora,0,2013-02-28,Verified,Medium,N,1,Everyday;Home Loan;KiwiSaver;Savings;Term Deposit,66583.6,350693.2,467,Auckland Central,Y,Y,Dormant
HB-10981,Individual,Ms,Xin,,Wang,,,1971-05-21,F,129-643-391,,xin.wang@xtra.co.nz,022 581 7455,,"Unit 1, 103 Pohutukawa Avenue",Newtown,Wellington,6021,NZ,Nurse,Countdown,0,2000-02-19,Expired,Medium,N,4,Everyday;Home Loan;KiwiSaver;Personal Loan;Term Deposit,8429.42,301397.73,551,Wellington Central,Y,N,Active
HB-10888,Individual,Miss,Sophie,Michael,Nguyen,,,1985-05-06,F,137-906-396,,sophie.nguyen@xtra.co.nz,021 967 1032,,41 Hill Drive,Mount Maunganui,Tauranga,3116,NZ,Truck Driver,Te Whatu Ora,240000,2006-05-16,Verified,High,N,4,Credit Card;Everyday;Savings;Term Deposit,5632.46,0,617,Tauranga Central,Y,N,Active
HB-10719,Individual,Mr,Sione,James,Li,,,1992-10-25,M,106-020-145,,sione.li@outlook.com,022 766 2516,09 552 8570,140 Rata Drive,Onehunga,Auckland,1061,NZ,Accountant,Te Whatu Ora,18000,2015-06-10,Expired,High,Y,2,Credit Card;Home Loan;KiwiSaver;Savings;Term Deposit,38502.95,799532.42,732,Auckland Central,Y,N,Active
HB-10680,Individual,Miss,Charlotte,James,Van der Berg,,,1942-03-31,F,134-005-406,,charlotte.vanderberg@outlook.com,021 189 9652,,56 Kowhai Drive,Newtown,Wellington,6021,NZ,Accountant,Air New Zealand,240000,2019-09-18,Pending,Low,N,1,Credit Card;Everyday;Savings,7272.68,3500,388,Wellington Central,Y,N,Active
HB-10550,Individual,Mr,Jun,Anne,Thompson,,,1954-01-22,M,120-073-432,,jun.thompson@xtra.co.nz,027 703 5928,07 318 8191,196 Clyde Avenue,Otumoetai,Tauranga,3110,NZ,Retail Assistant,Countdown,160000,2008-10-03,Verified,High,N,2,Home Loan;KiwiSaver;Savings,8269.28,736096.73,628,Tauranga Central,Y,Y,Active
HB-10911,Individual,Dr,Sophie,Lee,Faleolo,,,1951-06-29,F,,,sophie.faleolo@xtra.co.nz,029 767 3071,07 888 4117,"Unit 1, 198 Clyde Place",Papamoa,Tauranga,3118,NZ,Sales Manager,Fonterra,0,2007-11-27,Pending,Medium,N,4,Credit Card;Everyday;Term Deposit,6843.49,0,856,Tauranga Central,Y,N,Active
HB-10871,Individual,Ms,Aroha,,Clarke,,,1944-02-14,F,104-744-932,,aroha.clarke@outlook.com,022 230 2948,03 451 9382,4 Matai Terrace,Papanui,Christchurch,8053,NZ,Retail Assistant,Spark,85000,2020-08-07,Verified,High,N,2,Credit Card;Home Loan;KiwiSaver;Personal Loan;Term Deposit,23129.83,765662.06,438,Christchurch Central,Y,Y,Dormant
HB-11145,Individual,Dr,Mohammed,,Johansson,,,1976-02-08,M,124-965-367,,,022 739 5401,,15 Totara Street,St Clair,Dunedin,9012,NZ,Doctor,Fletcher Building,35000,2021-07-08,Verified,Medium,N,1,Everyday;Personal Loan;Term Deposit,19466.71,3500,827,Dunedin Central,Y,Y,Active
HB-10939,Individual,Mrs,Sarah,Kahu,Te Rangi,,,1967-01-15,F,126-165-924,,sarah.terangi@xtra.co.nz,029 362 4840,09 517 7049,116 Albert Drive,Ponsonby,Auckland,1011,NZ,Truck Driver,Te Whatu Ora,160000,2025-05-26,Expired,High,N,2,Credit Card;Personal Loan;Term Deposit,825.91,0,697,Auckland Central,N,Y,Active
HB-11297,Business,,,,,Rangitoto Security Services Limited,,,,102-951-568,9429127065796,accounts@rangitotosecuritys.co.nz,,07 346 6917,"Unit 12, 223 Totara Drive",Frankton,Hamilton,3204,NZ,,,250000,2004-04-17,Verified,High,N,6,Business Everyday;Term Deposit,112610.76,50000,,Hamilton Business Centre,Y,Y,Active
HB-11354,Individual,Dr,Ben,,Mitchell,,,1960-10-19,M,,,,027 869 7039,09 998 2407,1 Nikau Drive,Ponsonby,Auckland,1011,NZ,Electrician,Southern Cross Freight Ltd,85000,2015-07-08,Verified,Low,N,1,Everyday,7452.01,3500,398,Auckland Central,Y,Y,Active
HB-10377,Individual,Mrs,Elizabeth,,Harris,,,1947-05-28,F,,,elizabeth.harris@gmail.com,021 942 3353,,173 Queen Street,Frankton,Hamilton,3204,NZ,Self-employed,Spark,0,2020-04-23,Verified,Low,N,3,Personal Loan;Savings,9752.0,0,899,Hamilton Central,N,Y,Active
HB-10093,Individual,Mr,Matthew,,Kennedy,,,2002-11-25,M,139-895-468,,matthew.kennedy@xtra.co.nz,029 491 0862,,249 Park Place,Miramar,Wellington,6022,NZ,Sales Manager,Te Whatu Ora,0,2005-12-12,Verified,Low,N,2,KiwiSaver;Term Deposit,20719.53,0,520,Wellington Central,Y,N,Active
HB-11241,Business,,,,,Kiwi Fresh Produce Limited,,,,135-845-136,9429347941157,accounts@kiwifreshproduce.co.nz,027 846 1800,03 496 8848,47 Manuka Drive,Riccarton,Christchurch,8011,NZ,,,600000,2015-12-30,Pending,Low,N,4,Overdraft,36144.96,1200000,,Christchurch Business Centre,Y,Y,Active
HB-10299,Individual,Dr,Tevita,Louise,Martin,,,1990-10-15,M,123-552-325,,tevita.martin@xtra.co.nz,027 455 9943,,153 Clyde Road,Henderson,Auckland,0612,NZ,Truck Driver,Harbourview Aged Care Ltd,85000,2017-07-06,Verified,Low,N,3,Credit Card;Home Loan;Savings,5679.56,585715.67,615,Auckland Central,Y,N,Active
HB-11225,Business,,,,,Precision Electrical Services Limited,Precision Sparks,,,111-729-119,9429595485003,accounts@precisionelectrica.co.nz,,04 650 3049,"Unit 12, 144 Manuka Terrace",Karori,Wellington,6012,NZ,,,600000,1996-12-31,Verified,Medium,N,4,Business Everyday;Equipment Finance;Overdraft;Term Deposit,28673.22,0,,Wellington Business Centre,Y,N,Active
HB-11268,Business,,,,,Kauri Joinery Limited,,,,114-099-168,9429829478361,accounts@kaurijoinery.co.nz,022 346 6617,07 507 9757,72 Tui Terrace,Chartwell,Hamilton,3210,NZ,,,8000000,2018-03-17,Verified,Medium,N,3,Equipment Finance;Merchant Services;Term Deposit,69439.44,0,,Hamilton Business Centre,Y,N,Active
HB-10696,Individual,Dr,Susan,,Brown,,,1957-06-19,F,132-047-768,,susan.brown@outlook.com,021 852 9197,,48 Marine Crescent,Frankton,Hamilton,3204,NZ,Self-employed,Self,52000,2020-11-30,Verified,Medium,N,1,Credit Card;KiwiSaver;Personal Loan;Savings,2789.48,0,564,Hamilton Central,Y,N,Active
HB-10766,Individual,Mrs,Sarah,Jane,Brown,,,1982-01-31,F,124-069-741,,sarah.brown@xtra.co.nz,027 701 5244,03 342 1274,"Unit 6, 128 Seaview Terrace",Mornington,Dunedin,9011,NZ,Doctor,Harbourview Aged Care Ltd,85000,2020-01-29,Pending,Low,N,5,KiwiSaver;Personal Loan;Savings;Term Deposit,18271.29,0,857,Dunedin Central,Y,N,Active
HB-10728,Individual,Dr,Sophie,,Johansson,,,1998-10-26,F,129-524-056,,,021 408 9887,,157 Church Terrace,St Clair,Dunedin,9012,NZ,Electrician,Self,0,2019-07-26,Expired,Low,N,2,Everyday;KiwiSaver;Personal Loan;Savings,19548.89,0,757,Dunedin Central,Y,Y,Active
HB-10942,Individual,Ms,Losa,,Williams,,,1984-07-22,F,130-694-216,,losa.williams@outlook.com,029 504 0470,,"Unit 10, 35 Matai Place",Sumner,Christchurch,8081,NZ,Farmer,Ministry of Education,35000,2013-07-12,Pending,Low,N,3,Everyday;Personal Loan,116090.57,12000,820,Christchurch Central,Y,Y,Active
HB-10865,Individual,Miss,Sophie,,Van der Berg,,,1979-04-21,F,136-967-480,,,021 109 6686,03 808 5268,203 Beach Avenue,Halswell,Christchurch,8025,NZ,Retail Assistant,Auckland Council,52000,2003-07-06,Verified,Medium,N,1,Savings;Term Deposit,61552.43,12000,736,Christchurch Central,N,N,Active
HB-11311,Business,,,,,Harvest Food Manufacturing Limited,,,,118-856-184,9429357674446,accounts@harvestfoodmanufac.co.nz,,07 375 1938,112 Great North Crescent,Frankton,Hamilton,3204,NZ,,,250000,2020-12-10,Verified,Medium,N,3,Term Deposit,2507236.56,250000,,Hamilton Business Centre,Y,N,Active
HB-10208,Individual,Dr,Wei,,Sharma,,,1988-01-09,M,131-961-464,,wei.sharma@xtra.co.nz,027 548 5193,,"Unit 12, 25 Rata Place",Kelburn,Wellington,6012,NZ,Builder,Countdown,18000,2006-03-28,Verified,High,N,3,Term Deposit,3364.88,3500,656,Wellington Central,Y,N,Active
HB-10808,Individual,Mr,James,,Anderson,,,2005-12-14,M,135-524-895,,james.anderson@outlook.com,021 111 4313,,20 Hill Street,Roslyn,Dunedin,9010,NZ,Accountant,Kendrix Engineering Ltd,160000,2024-05-18,Verified,High,N,1,Credit Card;KiwiSaver;Personal Loan;Savings,23486.76,0,680,Dunedin Central,Y,Y,Active
HB-10213,Individual,Dr,Isla,,Wilson,,,1959-01-28,F,113-324-588,,isla.wilson@xtra.co.nz,021 695 1692,07 639 5029,173 Rata Crescent,Papamoa,Tauranga,3118,NZ,Nurse,,52000,2019-08-22,Verified,Low,N,3,Everyday;Home Loan;KiwiSaver;Personal Loan;Savings,29892.26,156612.0,357,Tauranga Central,Y,N,Deceased
HB-10998,Individual,Mr,Wei,,Kim,,,1982-05-03,M,107-224-505,,wei.kim@gmail.com,021 365 4587,03 712 7977,128 Clyde Road,Riccarton,Christchurch,8011,NZ,Accountant,Air New Zealand,0,1997-10-25,Verified,Low,N,3,Credit Card;Everyday;KiwiSaver;Term Deposit,9273.93,3500,460,Christchurch Central,Y,Y,Active
HB-11233,Business,,,,,Titan Crane Hire Limited,,,,116-837-458,9429406021380,accounts@titancranehire.co.nz,022 989 2108,03 377 2119,17 Kowhai Place,St Clair,Dunedin,9012,NZ,,,1200000,2022-09-09,Verified,High,N,1,Business Credit Card;Business Everyday;Merchant Services;Overdraft,169555.44,1200000,,Dunedin Business Centre,Y,N,Active
HB-10374,Individual,Dr,Sione,Rose,Murray,,,1940-03-23,M,130-519-435,,sione.murray@xtra.co.nz,021 542 0304,,114 Victoria Avenue,Johnsonville,Wellington,6037,NZ,Farmer,Fletcher Building,240000,1997-12-23,Verified,Low,N,2,KiwiSaver;Savings,10427.78,0,757,Wellington Central,N,N,Active
HB-10032,Individual,Dr,Daniel,,Kim,,,1983-12-27,M,120-748-636,,daniel.kim@gmail.com,022 572 9992,03 915 9965,"Unit 10, 46 Kereru Drive",Roslyn,Dunedin,9010,NZ,Chef,Fletcher Building,160000,2009-09-04,Verified,Low,N,1,Everyday;Home Loan;KiwiSaver;Term Deposit,1034.66,689741.17,817,Dunedin Central,Y,Y,Active
HB-10313,Individual,Dr,Aroha,,Wilson,,,1949-05-14,F,123-884-131,,aroha.wilson@gmail.com,027 447 2874,04 824 9533,181 Park Drive,Newtown,Wellington,6021,NZ,Farmer,Auckland Council,110000,2023-01-08,Verified,Low,N,3,Home Loan;Savings;Term Deposit,1694.03,637305.06,763,Wellington Central,Y,N,Active
HB-11103,Individual,Mrs,Fiona,Jane,Smith,,,1966-03-13,F,124-865-694,,,029 106 4376,07 769 3261,210 Harbour Terrace,Papamoa,Tauranga,3118,NZ,Engineer,,85000,1996-09-26,Pending,Low,N,2,Credit Card;Everyday;Personal Loan;Savings,12269.03,0,707,Tauranga Central,Y,Y,Active
HB-10334,Individual,Mr,Andrew,,Hughes,,,1998-10-20,M,117-696-842,,andrew.hughes@xtra.co.nz,027 825 3312,,101 Marine Street,Karori,Wellington,6012,NZ,Teacher,Fletcher Building,35000,2009-11-08,Verified,Medium,N,2,Home Loan;KiwiSaver;Personal Loan;Term Deposit,4298.62,556857.11,474,Wellington Central,N,Y,Active
