customer_key,entity_type,full_name,first_name,middle_name,last_name,business_name,trading_name,other_names,date_of_birth,gender,tax_id,nzbn,street,suburb,city,postcode,email,all_emails,phones,customer_status,customer_since,kyc_verified,aml_risk,pep,num_accounts,total_deposits_nzd,total_lending_nzd,products,in_totara,in_harbourside,n_records,name_source,address_source,source_records,review_reasons
H:HB-10052,PERSON,Victoria Kahu Wang,Victoria,Kahu,Wang,,,,1997-08-05,F,107044179,,150 Kereru Avenue,Mornington,Dunedin,9011,victoria.wang@gmail.com,victoria.wang@gmail.com,0274386563; 038791028,Active,2024-02-21,true,Medium,false,5,52351.15,0.00,Credit Card; Everyday; Personal Loan; Term Deposit,false,true,1,H:HB-10052,H:HB-10052,H:HB-10052,
H:HB-10057,PERSON,Joshua MacLeod,Joshua,,MacLeod,,,,1952-09-23,M,111535710,,"Unit 11, 10 Church Crescent",Papanui,Christchurch,8053,joshua.macleod@xtra.co.nz,joshua.macleod@xtra.co.nz,0223500324; 032137956,Active,2015-06-30,true,Medium,true,4,5549.40,12000.00,Personal Loan; Term Deposit,false,true,1,H:HB-10057,H:HB-10057,H:HB-10057,
H:HB-10065,PERSON,Grace Hughes,Grace,,Hughes,,,,1997-09-16,F,135915760,,95 Manuka Place,Riccarton,Christchurch,8011,grace.hughes@outlook.com,grace.hughes@outlook.com,0226593510; 039753071,Active,1999-09-26,true,Low,false,4,10135.78,0.00,Credit Card; Everyday; KiwiSaver; Personal Loan; Savings,false,true,2,H:HB-10065,H:HB-10065,H:HB-10065; H:HB-11348,
H:HB-10067,PERSON,Andrew Paul Brown,Andrew,Paul,Brown,,,,1973-08-21,M,126758324,,15 Rimu Street,Roslyn,Dunedin,9010,andrew.brown@xtra.co.nz,andrew.brown@xtra.co.nz,0221371318; 032664101,Active,2004-05-14,true,Low,false,3,30339.84,12000.00,KiwiSaver; Personal Loan,false,true,1,H:HB-10067,H:HB-10067,H:HB-10067,
H:HB-10074,PERSON,Jennifer McDonald,Jennifer,,McDonald,,,,1992-07-13,F,125474648,,59 Matai Place,Papatoetoe,Auckland,2025,jennifer.mcdonald@outlook.com,jennifer.mcdonald@outlook.com,0273470514,Active,2003-01-14,true,Low,false,1,9108.37,0.00,KiwiSaver,false,true,1,H:HB-10074,H:HB-10074,H:HB-10074,
H:HB-10082,PERSON,Charlotte John Te Rangi,Charlotte,John,Te Rangi,,,,1941-03-09,F,123391953,,190 Station Street,Newtown,Wellington,6021,,,0214183145; 044498025,Deceased,1999-01-22,true,Medium,false,4,8062.75,377238.22,Home Loan; Personal Loan; Savings,false,true,1,H:HB-10082,H:HB-10082,H:HB-10082,
H:HB-10085,PERSON,David Scott,David,,Scott,,,,1974-01-08,M,117222610,,"Unit 10, 169 Ranui Street",Kelburn,Wellington,6012,david.scott@gmail.com,david.scott@gmail.com,0229152968,Active,1996-03-25,false,Medium,false,4,24262.99,12000.00,Credit Card; Personal Loan; Savings; Term Deposit,false,true,1,H:HB-10085,H:HB-10085,H:HB-10085,
H:HB-10093,PERSON,Matthew Kennedy,Matthew,,Kennedy,,,,2002-11-25,M,139895468,,249 Park Place,Miramar,Wellington,6022,matthew.kennedy@xtra.co.nz,matthew.kennedy@xtra.co.nz,0294910862,Active,2005-12-12,true,Low,false,2,20719.53,0.00,KiwiSaver; Term Deposit,false,true,1,H:HB-10093,H:HB-10093,H:HB-10093,
H:HB-10095,PERSON,Olivia Paul Chen,Olivia,Paul,Chen,,,,1991-08-22,F,118980655,,223 Station Road,Papamoa,Tauranga,3118,olivia.chen@outlook.com,olivia.chen@outlook.com,0298783348,Active,2016-01-16,true,High,false,2,37406.68,3500.00,Everyday; KiwiSaver; Personal Loan; Savings,false,true,1,H:HB-10095,H:HB-10095,H:HB-10095,
H:HB-10097,PERSON,Emily John Anderson,Emily,John,Anderson,,,,1944-01-31,F,109065207,,111 Hill Avenue,Hillcrest,Hamilton,3216,emily.anderson@outlook.com,emily.anderson@outlook.com,0275064688; 079567130,Active,2004-09-20,true,Medium,false,1,326923.55,841227.15,Credit Card; Everyday; Home Loan; KiwiSaver; Personal Loan,false,true,1,H:HB-10097,H:HB-10097,H:HB-10097,
H:HB-10103,PERSON,Thomas Louise Singh,Thomas,Louise,Singh,,,,1998-09-01,M,115535323,,52 Hill Crescent,Miramar,Wellington,6022,thomas.singh@gmail.com,thomas.singh@gmail.com,0214438096,Active,2018-11-19,true,Medium,false,5,49220.57,0.00,KiwiSaver,false,true,1,H:HB-10103,H:HB-10103,H:HB-10103,
H:HB-10108,PERSON,Wei Te Rangi,Wei,,Te Rangi,,,,2002-03-17,M,130558763,,"Unit 7, 226 Park Avenue",Merivale,Christchurch,8014,wei.terangi@xtra.co.nz,wei.terangi@xtra.co.nz,0297990554,Active,2010-07-30,true,Medium,false,4,53327.19,0.00,Credit Card,false,true,1,H:HB-10108,H:HB-10108,H:HB-10108,
H:HB-10110,PERSON,Rahul Anne Tuilagi,Rahul,Anne,Tuilagi,,,,1963-05-15,M,,,90 Manuka Road,Mount Maunganui,Tauranga,3116,rahul.tuilagi@xtra.co.nz,rahul.tuilagi@xtra.co.nz,0292626528,Active,2018-10-16,false,Low,false,3,37028.68,0.00,Credit Card; KiwiSaver; Personal Loan; Term Deposit,false,true,1,H:HB-10110,H:HB-10110,H:HB-10110,
H:HB-10114,PERSON,Anthony Zhang,Anthony,,Zhang,,,Tony Zhang,2006-11-15,M,124230787,,202 Kereru Road,Sumner,Christchurch,8081,anthony.zhang@outlook.com,anthony.zhang@outlook.com,0271756907,Active,1997-04-28,true,Low,false,3,16824.50,505306.60,Credit Card; Everyday; KiwiSaver; Savings; Term Deposit,false,true,2,H:HB-10114,H:HB-10114,H:HB-10114; H:HB-11360,
H:HB-10117,PERSON,Losa Louise Kim,Losa,Louise,Kim,,,,1995-11-14,F,133892401,,130 Kowhai Street,Otumoetai,Tauranga,3110,losa.kim@gmail.com,losa.kim@gmail.com,0215312811,Dormant,2013-10-01,true,Low,false,3,45031.26,0.00,Credit Card; Savings; Term Deposit,false,true,1,H:HB-10117,H:HB-10117,H:HB-10117,
H:HB-10120,PERSON,Michael Hughes,Michael,,Hughes,,,,1955-11-18,M,134570599,,68 Matai Place,Mornington,Dunedin,9011,michael.hughes@outlook.com,michael.hughes@outlook.com,0294180219,Active,1999-07-27,false,Low,false,2,35381.46,3500.00,Personal Loan,false,true,1,H:HB-10120,H:HB-10120,H:HB-10120,
H:HB-10127,PERSON,Tevita Rossi,Tevita,,Rossi,,,,1946-08-11,M,135733894,,77 Albert Terrace,Ponsonby,Auckland,1011,tevita.rossi@outlook.com,tevita.rossi@outlook.com,0293291608,Active,2007-11-30,false,Low,false,4,29614.50,0.00,Term Deposit,false,true,1,H:HB-10127,H:HB-10127,H:HB-10127,
H:HB-10134,PERSON,Lucy Ann Kennedy,Lucy,Ann,Kennedy,,,,1973-10-14,F,107390496,,147 Manuka Crescent,Mount Maunganui,Tauranga,3116,lucy.kennedy@gmail.com,lucy.kennedy@gmail.com,0298580771,Active,2001-10-14,true,Medium,false,4,2908.66,12000.00,Savings,false,true,1,H:HB-10134,H:HB-10134,H:HB-10134,
H:HB-10141,PERSON,Anthony Paul Anderson,Anthony,Paul,Anderson,,,,1996-08-30,M,112257030,,"Unit 3, 87 Pohutukawa Terrace",Chartwell,Hamilton,3210,anthony.anderson@xtra.co.nz,anthony.anderson@xtra.co.nz,0211497428; 073383877,Deceased,2019-08-28,true,High,false,3,1121.55,0.00,Personal Loan; Savings,false,true,1,H:HB-10141,H:HB-10141,H:HB-10141,
H:HB-10150,PERSON,Jessica Robinson,Jessica,,Robinson,,,,1963-10-05,F,115773337,,241 Station Avenue,Frankton,Hamilton,3204,jessica.robinson@gmail.com,jessica.robinson@gmail.com,0214194211; 077185111,Dormant,2013-02-10,true,Low,false,5,1427.22,546180.82,Credit Card; Home Loan,false,true,1,H:HB-10150,H:HB-10150,H:HB-10150,
H:HB-10157,PERSON,Isla Sharma,Isla,,Sharma,,,,1995-01-13,F,108311879,,119 Nikau Street,Onehunga,Auckland,1061,isla.sharma@gmail.com,isla.sharma@gmail.com,0271990134; 095205883,Active,2002-05-09,false,High,false,5,4705.34,3500.00,Everyday; KiwiSaver,false,true,1,H:HB-10157,H:HB-10157,H:HB-10157,
H:HB-10163,PERSON,Thomas Marie Pohatu,Thomas,Marie,Pohatu,,,,1976-02-27,M,100576386,,"Unit 6, 214 Beach Street",Otumoetai,Tauranga,3110,thomas.pohatu@gmail.com,thomas.pohatu@gmail.com,0297732654,Active,1995-05-27,true,Low,false,4,7067.94,0.00,KiwiSaver,false,true,1,H:HB-10163,H:HB-10163,H:HB-10163,
H:HB-10164,PERSON,Rachel Lee Van der Berg,Rachel,Lee,Van der Berg,,,,1947-10-24,F,136079379,,153 Marine Crescent,Mount Maunganui,Tauranga,3116,,,0224348933,Active,2005-07-12,true,Low,false,3,50838.85,241145.17,Credit Card; Home Loan; KiwiSaver,false,true,1,H:HB-10164,H:HB-10164,H:HB-10164,
H:HB-10167,PERSON,Daniel Lee Scott,Daniel,Lee,Scott,,,,1985-02-11,M,118087726,,148 Manuka Drive,Mount Maunganui,Tauranga,3116,daniel.scott@xtra.co.nz,daniel.scott@xtra.co.nz,0298799353,Active,2015-09-13,false,Medium,false,1,8435.85,0.00,Everyday; KiwiSaver; Savings; Term Deposit,false,true,1,H:HB-10167,H:HB-10167,H:HB-10167,
H:HB-10171,PERSON,Michael Young,Michael,,Young,,,,1985-09-05,M,,,70 Rimu Terrace,Papamoa,Tauranga,3118,michael.young@gmail.com,michael.young@gmail.com,0225569454; 079524453,Active,2016-08-21,true,Low,false,2,6379.74,0.00,Personal Loan,false,true,1,H:HB-10171,H:HB-10171,H:HB-10171,
H:HB-10180,PERSON,Stephen James Thompson,Stephen,James,Thompson,,,,1978-02-20,M,108153912,,24 Totara Place,Mount Eden,Auckland,1024,stephen.thompson@gmail.com,stephen.thompson@gmail.com,0291022411,Active,2020-07-01,true,Low,false,5,5326.21,3500.00,Credit Card; Personal Loan; Term Deposit,false,true,1,H:HB-10180,H:HB-10180,H:HB-10180,
H:HB-10183,PERSON,Mateo MacLeod,Mateo,,MacLeod,,,,1965-06-25,M,,,89 Seaview Drive,Papamoa,Tauranga,3118,mateo.macleod@outlook.com,mateo.macleod@outlook.com,0224001133; 074056416,Active,1997-01-31,true,Medium,false,1,18279.73,708641.97,Home Loan; KiwiSaver; Personal Loan; Term Deposit,false,true,1,H:HB-10183,H:HB-10183,H:HB-10183,
H:HB-10192,PERSON,Isla Paul Patel,Isla,Paul,Patel,,,,1944-05-12,F,133560644,,49 Kauri Place,Halswell,Christchurch,8025,isla.patel@xtra.co.nz,isla.patel@xtra.co.nz,0271868717,Active,2023-04-10,true,Low,false,5,1554.87,0.00,Everyday; KiwiSaver; Personal Loan; Savings,false,true,1,H:HB-10192,H:HB-10192,H:HB-10192,
H:HB-10198,PERSON,Luca Lee Williams,Luca,Lee,Williams,,,,2004-01-20,M,117359199,,90 Rimu Street,Riccarton,Christchurch,8011,luca.williams@outlook.com,luca.williams@outlook.com,0291706104; 038117099,Active,2005-01-31,true,Low,false,2,19693.37,600910.55,Home Loan; Personal Loan; Savings; Term Deposit,false,true,1,H:HB-10198,H:HB-10198,H:HB-10198,
H:HB-10203,PERSON,Jennifer Wilson,Jennifer,,Wilson,,,,2000-01-09,F,128711091,,104 Hill Place,Remuera,Auckland,1050,jennifer.wilson@outlook.com,jennifer.wilson@outlook.com,0219862356,Active,1996-12-14,true,Medium,false,3,81805.39,0.00,Everyday; KiwiSaver; Personal Loan; Term Deposit,false,true,1,H:HB-10203,H:HB-10203,H:HB-10203,
H:HB-10207,PERSON,Mateo John Sharma,Mateo,John,Sharma,,,,1994-11-11,M,115505989,,112 Rata Crescent,Papatoetoe,Auckland,2025,,,0277068182,Active,2016-05-05,true,High,false,5,12352.99,3500.00,Everyday,false,true,1,H:HB-10207,H:HB-10207,H:HB-10207,
H:HB-10208,PERSON,Wei Sharma,Wei,,Sharma,,,,1988-01-09,M,131961464,,"Unit 12, 25 Rata Place",Kelburn,Wellington,6012,wei.sharma@xtra.co.nz,wei.sharma@xtra.co.nz,0275485193,Active,2006-03-28,true,High,false,3,3364.88,3500.00,Term Deposit,false,true,1,H:HB-10208,H:HB-10208,H:HB-10208,
H:HB-10213,PERSON,Isla Wilson,Isla,,Wilson,,,,1959-01-28,F,113324588,,173 Rata Crescent,Papamoa,Tauranga,3118,isla.wilson@xtra.co.nz,isla.wilson@xtra.co.nz,0216951692; 076395029,Deceased,2019-08-22,true,Low,false,3,29892.26,156612.00,Everyday; Home Loan; KiwiSaver; Personal Loan; Savings,false,true,1,H:HB-10213,H:HB-10213,H:HB-10213,
H:HB-10221,PERSON,Ananya Lee Ahmed,Ananya,Lee,Ahmed,,,,1988-05-25,F,136422722,,118 Kereru Drive,Newtown,Wellington,6021,ananya.ahmed@gmail.com,ananya.ahmed@gmail.com,0227312127; 045224592,Active,2011-09-26,true,Medium,false,2,6651.17,12000.00,Everyday; Savings; Term Deposit,false,true,1,H:HB-10221,H:HB-10221,H:HB-10221,
H:HB-10227,PERSON,Losa Lee Stewart,Losa,Lee,Stewart,,,,1970-05-15,F,101543664,,13 Ranui Road,Newtown,Wellington,6021,losa.stewart@gmail.com,losa.stewart@gmail.com,0221581579,Active,2008-06-06,false,Low,false,3,5949.05,0.00,Everyday,false,true,1,H:HB-10227,H:HB-10227,H:HB-10227,
H:HB-10230,PERSON,Benjamin Murray,Benjamin,,Murray,,,,1956-10-02,M,,,"Unit 1, 109 Tui Road",Chartwell,Hamilton,3210,benjamin.murray@outlook.com,benjamin.murray@outlook.com,0297848702; 072864977,Active,2003-02-14,false,Medium,false,1,48894.96,3500.00,Everyday,false,true,1,H:HB-10230,H:HB-10230,H:HB-10230,
H:HB-10231,PERSON,Losa Reid,Losa,,Reid,,,,1998-09-09,F,112842912,,58 Seaview Avenue,Mount Maunganui,Tauranga,3116,,,0211385201; 073087322,Active,2005-01-13,true,Medium,false,5,38196.17,235784.83,Credit Card; Home Loan; Personal Loan,false,true,1,H:HB-10231,H:HB-10231,H:HB-10231,
H:HB-10233,PERSON,Rachel Grace Mitchell,Rachel,Grace,Mitchell,,,,1967-12-23,F,129525213,,55 Queen Drive,Papamoa,Tauranga,3118,rachel.mitchell@xtra.co.nz,rachel.mitchell@xtra.co.nz,0223020903; 074369982,Dormant,2001-03-16,false,Medium,false,2,6675.58,12000.00,Personal Loan; Savings,false,true,1,H:HB-10233,H:HB-10233,H:HB-10233,
H:HB-10240,PERSON,Rahul Tuhiwai,Rahul,,Tuhiwai,,,,1975-05-29,M,132703836,,45 Matai Street,St Clair,Dunedin,9012,rahul.tuhiwai@xtra.co.nz,rahul.tuhiwai@xtra.co.nz,0211660308; 033415172,Dormant,1996-07-05,true,Medium,false,2,2995.40,0.00,Savings; Term Deposit,false,true,1,H:HB-10240,H:HB-10240,H:HB-10240,
H:HB-10241,PERSON,Kiri Jane Walker,Kiri,Jane,Walker,,,,1948-09-04,F,127406484,,240 Hill Drive,Roslyn,Dunedin,9010,kiri.walker@xtra.co.nz,kiri.walker@xtra.co.nz,0274965678; 038602678,Active,2023-06-21,false,Medium,false,3,25527.84,12000.00,Term Deposit,false,true,1,H:HB-10241,H:HB-10241,H:HB-10241,
H:HB-10243,PERSON,Lucy Smith,Lucy,,Smith,,,,1962-07-31,F,124646549,,170 Clyde Terrace,Papamoa,Tauranga,3118,,,0223388443,Active,2025-09-17,false,Low,false,2,9344.46,0.00,Credit Card; Personal Loan; Savings,false,true,1,H:HB-10243,H:HB-10243,H:HB-10243,
H:HB-10246,PERSON,Samuel Marie Li,Samuel,Marie,Li,,,,1987-06-09,M,122340683,,"Unit 7, 133 Totara Road",Merivale,Christchurch,8014,,,0219804966; 038984246,Active,2022-07-14,true,Low,false,5,33643.27,556564.01,Credit Card; Home Loan; KiwiSaver; Savings; Term Deposit,false,true,1,H:HB-10246,H:HB-10246,H:HB-10246,
H:HB-10253,PERSON,Xin Smith,Xin,,Smith,,,,1998-09-28,F,133289852,,"Unit 3, 42 Ranui Place",Hillcrest,Hamilton,3216,xin.smith@xtra.co.nz,xin.smith@xtra.co.nz,0221516806,Active,2002-10-10,true,Low,false,2,49068.39,0.00,Everyday,false,true,1,H:HB-10253,H:HB-10253,H:HB-10253,
H:HB-10256,PERSON,Amelia Anderson,Amelia,,Anderson,,,,1944-07-02,F,130298104,,137 Manuka Street,Chartwell,Hamilton,3210,amelia.anderson@gmail.com,amelia.anderson@gmail.com,0212889976; 079995387,Deceased,2002-09-18,false,Low,false,2,18606.80,0.00,KiwiSaver; Savings; Term Deposit,false,true,1,H:HB-10256,H:HB-10256,H:HB-10256,
H:HB-10262,PERSON,Robert Brown,Robert,,Brown,,,,1948-12-10,M,122101425,,33 Rata Road,Merivale,Christchurch,8014,,,0292464455,Dormant,2007-07-31,true,Medium,false,3,30179.09,3500.00,Credit Card; Everyday; KiwiSaver,false,true,1,H:HB-10262,H:HB-10262,H:HB-10262,
H:HB-10270,PERSON,James Zhang,James,,Zhang,,,,2006-12-13,M,111164041,,242 Totara Terrace,Papanui,Christchurch,8053,james.zhang@gmail.com,james.zhang@gmail.com,0274875027; 038198287,Active,2010-10-01,true,Medium,false,2,10252.20,0.00,Personal Loan,false,true,1,H:HB-10270,H:HB-10270,H:HB-10270,
H:HB-10276,PERSON,Joshua Anne White,Joshua,Anne,White,,,,2001-05-12,M,138773148,,"Unit 9, 188 Pohutukawa Place",Mornington,Dunedin,9011,joshua.white@outlook.com,joshua.white@outlook.com,0211116345; 036222499,Active,2021-02-08,true,Low,false,3,7235.99,220323.12,Everyday; Home Loan; KiwiSaver,false,true,1,H:HB-10276,H:HB-10276,H:HB-10276,
H:HB-10278,PERSON,Peter Paul Campbell,Peter,Paul,Campbell,,,,1970-10-25,M,112567464,,111 Harbour Crescent,Onehunga,Auckland,1061,peter.campbell@gmail.com,peter.campbell@gmail.com,0292772926,Active,2019-02-16,true,Medium,false,3,17616.26,176194.28,Credit Card; Home Loan; KiwiSaver; Personal Loan; Term Deposit,false,true,1,H:HB-10278,H:HB-10278,H:HB-10278,
H:HB-10281,PERSON,Thomas Mitchell,Thomas,,Mitchell,,,,1954-10-14,M,136575570,,126 Totara Road,Roslyn,Dunedin,9010,thomas.mitchell@outlook.com,thomas.mitchell@outlook.com,0278961799,Active,2023-05-27,true,Medium,false,4,16202.61,306274.97,Credit Card; Home Loan; KiwiSaver; Personal Loan; Term Deposit,false,true,1,H:HB-10281,H:HB-10281,H:HB-10281,
H:HB-10288,PERSON,Ruby Paul Murray,Ruby,Paul,Murray,,,,1980-11-23,F,111333636,,"Unit 7, 132 Harbour Street",Newtown,Wellington,6021,ruby.murray@xtra.co.nz,ruby.murray@xtra.co.nz,0273127525; 049165656,Active,2020-02-26,false,Low,false,1,15146.89,3500.00,Credit Card; KiwiSaver; Term Deposit,false,true,1,H:HB-10288,H:HB-10288,H:HB-10288,
H:HB-10290,PERSON,Susan Lee MacLeod,Susan,Lee,MacLeod,,,,1984-03-29,F,139014437,,246 Matai Road,Henderson,Auckland,0612,susan.macleod@xtra.co.nz,susan.macleod@xtra.co.nz,0219527482; 097308164,Active,2024-02-03,true,Low,false,4,20582.68,0.00,Credit Card; Savings,false,true,1,H:HB-10290,H:HB-10290,H:HB-10290,
H:HB-10294,PERSON,James Grace Li,James,Grace,Li,,,,1961-07-17,M,128558929,,119 Kowhai Terrace,Ponsonby,Auckland,1011,james.li@gmail.com,james.li@gmail.com,0292855929; 093504592,Active,2021-06-11,true,Low,false,2,19447.54,3500.00,KiwiSaver; Term Deposit,false,true,1,H:HB-10294,H:HB-10294,H:HB-10294,
H:HB-10299,PERSON,Tevita Louise Martin,Tevita,Louise,Martin,,,,1990-10-15,M,123552325,,153 Clyde Road,Henderson,Auckland,0612,tevita.martin@xtra.co.nz,tevita.martin@xtra.co.nz,0274559943,Active,2017-07-06,true,Low,false,3,5679.56,585715.67,Credit Card; Home Loan; Savings,false,true,1,H:HB-10299,H:HB-10299,H:HB-10299,
H:HB-10308,PERSON,Rachel John Stewart,Rachel,John,Stewart,,,,1956-09-30,F,110465721,,113 Rimu Road,St Clair,Dunedin,9012,rachel.stewart@xtra.co.nz,rachel.stewart@xtra.co.nz,0227359151,Active,1996-04-13,false,Low,false,5,2844.76,0.00,Credit Card; KiwiSaver; Term Deposit,false,true,1,H:HB-10308,H:HB-10308,H:HB-10308,
H:HB-10313,PERSON,Aroha Wilson,Aroha,,Wilson,,,,1949-05-14,F,123884131,,181 Park Drive,Newtown,Wellington,6021,aroha.wilson@gmail.com,aroha.wilson@gmail.com,0274472874; 048249533,Active,2023-01-08,true,Low,false,3,1694.03,637305.06,Home Loan; Savings; Term Deposit,false,true,1,H:HB-10313,H:HB-10313,H:HB-10313,
H:HB-10322,PERSON,Rawiri James Mitchell,Rawiri,James,Mitchell,,,,1954-02-20,M,131992123,,53 Rimu Road,Mount Maunganui,Tauranga,3116,rawiri.mitchell@outlook.com,rawiri.mitchell@outlook.com,0222036805; 072301922,Active,2024-12-11,true,Medium,false,2,15598.31,550700.97,Home Loan; KiwiSaver,false,true,1,H:HB-10322,H:HB-10322,H:HB-10322,
H:HB-10327,PERSON,Priya Jane Clarke,Priya,Jane,Clarke,,,,1950-12-26,F,126128988,,192 Beach Avenue,Frankton,Hamilton,3204,priya.clarke@outlook.com,priya.clarke@outlook.com,0222502365,Active,2001-08-16,true,Medium,false,4,78834.98,0.00,Savings; Term Deposit,false,true,1,H:HB-10327,H:HB-10327,H:HB-10327,
H:HB-10328,PERSON,Anna Paul Hughes,Anna,Paul,Hughes,,,,1996-01-27,F,121852046,,165 Beach Crescent,Mornington,Dunedin,9011,anna.hughes@xtra.co.nz,anna.hughes@xtra.co.nz,0211761127; 039583734,Active,2016-11-20,true,High,false,3,1355.60,0.00,Credit Card; Everyday; KiwiSaver; Savings,false,true,1,H:HB-10328,H:HB-10328,H:HB-10328,
H:HB-10334,PERSON,Andrew Hughes,Andrew,,Hughes,,,,1998-10-20,M,117696842,,101 Marine Street,Karori,Wellington,6012,andrew.hughes@xtra.co.nz,andrew.hughes@xtra.co.nz,0278253312,Active,2009-11-08,true,Medium,false,2,4298.62,556857.11,Home Loan; KiwiSaver; Personal Loan; Term Deposit,false,true,1,H:HB-10334,H:HB-10334,H:HB-10334,
H:HB-10339,PERSON,Luca O'Brien,Luca,,O'Brien,,,,1963-04-04,M,109742040,,23 Station Crescent,Otumoetai,Tauranga,3110,luca.obrien@outlook.com,luca.obrien@outlook.com,0215467187; 073461654,Active,2005-04-19,true,Low,false,2,12067.17,648729.26,Credit Card; Home Loan; Personal Loan; Savings; Term Deposit,false,true,1,H:HB-10339,H:HB-10339,H:HB-10339,
H:HB-10342,PERSON,Benjamin Taylor,Benjamin,,Taylor,,,,1962-02-05,M,100046942,,194 Station Avenue,Papanui,Christchurch,8053,benjamin.taylor@outlook.com,benjamin.taylor@outlook.com,0272861786,Dormant,2025-04-23,false,Low,false,3,12665.84,3500.00,KiwiSaver,false,true,1,H:HB-10342,H:HB-10342,H:HB-10342,
H:HB-10348,PERSON,Arjun Lee Campbell,Arjun,Lee,Campbell,,,,1968-06-06,M,113846708,,19 Hill Crescent,Onehunga,Auckland,1061,arjun.campbell@outlook.com,arjun.campbell@outlook.com,0226986918; 095151612,Active,2001-04-17,true,High,false,4,11503.97,12000.00,Credit Card; Personal Loan,false,true,1,H:HB-10348,H:HB-10348,H:HB-10348,
