customer_key,review_reasons,golden_name,golden_dob,golden_tax_id,golden_address,record_id,bank,used_for,record_name,record_dob,record_tax_id,record_address,record_status,record_customer_since,record_email
H:HB-10913,address differs (confirm current address),Lucy John White,1973-04-14,136117149,"69 Seaview Avenue, Miramar, Wellington 6022",T:00400859,Totara,,Lucy J White,1973-04-14,,"137 Kauri Street, St Clair, Dunedin 9012",Active,2012-10-14,lucy8@hotmail.com
H:HB-11015,address differs (confirm current address),Luca McDonald,1965-01-21,135061344,"23 Queen Crescent, Roslyn, Dunedin 9010",H:HB-11015,Harbourside,name + address,Luca McDonald,1965-01-21,135061344,"23 Queen Crescent, Roslyn, Dunedin 9010",Active,2024-01-13,luca.mcdonald@gmail.com
H:HB-11015,address differs (confirm current address),Luca McDonald,1965-01-21,135061344,"23 Queen Crescent, Roslyn, Dunedin 9010",T:00401180,Totara,,Luca Mcdonald,1965-01-21,,"229 Marine Drive, Onehunga, Auckland 1061",Active,1992-08-02,luca20@gmail.com
H:HB-11037,address differs (confirm current address),Anthony Brown,1955-10-16,114450199,"46 Totara Crescent, Onehunga, Auckland 1061",H:HB-11037,Harbourside,name + address,Anthony Brown,1955-10-16,114450199,"46 Totara Crescent, Onehunga, Auckland 1061",Active,1998-08-25,
H:HB-11037,address differs (confirm current address),Anthony Brown,1955-10-16,114450199,"46 Totara Crescent, Onehunga, Auckland 1061",T:00401298,Totara,,Anthony Brown,1955-10-16,114450199,"155 Hill Terrace, Frankton, Hamilton 3204",Active,2012-02-12,
H:HB-11046,address differs (confirm current address),Charlotte Paul Clarke,1979-07-27,119514599,"63 Clyde Crescent, Johnsonville, Wellington 6037",H:HB-11046,Harbourside,name + address,Charlotte Paul Clarke,1979-07-27,119514599,"63 Clyde Crescent, Johnsonville, Wellington 6037",Active,2025-08-13,charlotte.clarke@xtra.co.nz
H:HB-11046,address differs (confirm current address),Charlotte Paul Clarke,1979-07-27,119514599,"63 Clyde Crescent, Johnsonville, Wellington 6037",T:00401307,Totara,,Charltote P Clarke,1979-07-27,,"67 Pohutukawa Street, Wellington 6022",Active,2021-10-17,
H:HB-11098,address differs (confirm current address),Anahera Tipene,1986-07-13,130632214,"161 Matai Crescent, Mount Maunganui, Tauranga 3116",H:HB-11098,Harbourside,name + address,Anahera Tipene,1986-07-13,,"161 Matai Crescent, Mount Maunganui, Tauranga 3116",Active,2019-05-29,anahera.tipene@gmail.com
H:HB-11098,address differs (confirm current address),Anahera Tipene,1986-07-13,130632214,"161 Matai Crescent, Mount Maunganui, Tauranga 3116",T:00401503,Totara,,Anahera Tipene,1986-07-13,130632214,"Unit 4, 220 Matai Road, Mornington, Dunedin 9011",Active,1989-12-10,
H:HB-11121,address differs (confirm current address),Aisha Paul Harris,1991-11-24,107384377,"88 Kauri Street, Takapuna, Auckland 0622",H:HB-11121,Harbourside,name + address,Aisha Paul Harris,1991-11-24,107384377,"88 Kauri Street, Takapuna, Auckland 0622",Active,2014-06-22,aisha.harris@xtra.co.nz
H:HB-11121,address differs (confirm current address),Aisha Paul Harris,1991-11-24,107384377,"88 Kauri Street, Takapuna, Auckland 0622",T:00401542,Totara,,Aisha P Harris,1991-11-24,,"115 Park Terrace, Mount Maunganui, Tauranga 3116",Active,2000-12-10,aisha32@xtra.co.nz
H:HB-11297,address differs (confirm current address),Rangitoto Security Services Limited,,102951568,"Unit 12, 223 Totara Drive, Frankton, Hamilton 3204",H:HB-11297,Harbourside,name + address,Rangitoto Security Services Limited,,102951568,"Unit 12, 223 Totara Drive, Frankton, Hamilton 3204",Active,2004-04-17,accounts@rangitotosecuritys.co.nz
H:HB-11297,address differs (confirm current address),Rangitoto Security Services Limited,,102951568,"Unit 12, 223 Totara Drive, Frankton, Hamilton 3204",T:00404063,Totara,,Rangitoto Security Services Ltd,,,"223 Totara Drive, Frankton, Hamilton 3204",Active,1996-03-30,
H:HB-11314,address differs (confirm current address),Ruru Accounting Limited,,117630673,"108 Marine Avenue, Johnsonville, Wellington 6037",H:HB-11314,Harbourside,name + address,Ruru Accounting Limited,,117630673,"108 Marine Avenue, Johnsonville, Wellington 6037",Active,2008-07-03,accounts@ruruaccounting.co.nz
H:HB-11314,address differs (confirm current address),Ruru Accounting Limited,,117630673,"108 Marine Avenue, Johnsonville, Wellington 6037",T:00404122,Totara,,Ruru Accounting Limited,,117630673,"182 Great North Road, Karori, Wellington 6012",Active,1990-09-17,
H:HB-11334,address differs (confirm current address),Northcote Bakery Limited,,130727715,"71 Marine Drive, Otumoetai, Tauranga 3110",H:HB-11334,Harbourside,name + address,Northcote Bakery Limited,,130727715,"71 Marine Drive, Otumoetai, Tauranga 3110",Active,1995-01-28,accounts@northcotebakery.co.nz
H:HB-11334,address differs (confirm current address),Northcote Bakery Limited,,130727715,"71 Marine Drive, Otumoetai, Tauranga 3110",T:00404189,Totara,,Northcote Bakery Ltd,,130727715,"68 Station Terrace, Otumoetai, Tauranga 3110",Active,2000-05-07,
H:HB-11335,address differs (confirm current address),Tūī Brewing Collective Limited,,116153314,"Unit 6, 137 Clyde Crescent, Henderson, Auckland 0612",H:HB-11335,Harbourside,name + address,Tūī Brewing Collective Limited,,116153314,"Unit 6, 137 Clyde Crescent, Henderson, Auckland 0612",Active,2001-10-06,accounts@tūībrewingcollecti.co.nz
H:HB-11335,address differs (confirm current address),Tūī Brewing Collective Limited,,116153314,"Unit 6, 137 Clyde Crescent, Henderson, Auckland 0612",T:00404197,Totara,,Tūī Brewing Collective Ltd,,116153314,"179 Hill Terrace, Onehunga, Auckland 1061",Active,2001-02-13,
H:HB-11343,address differs (confirm current address),Kea Couriers Limited,,133207488,"Unit 2, 235 Rata Road, Mount Eden, Auckland 1024",H:HB-11343,Harbourside,name + address,Kea Couriers Limited,,133207488,"Unit 2, 235 Rata Road, Mount Eden, Auckland 1024",Active,2019-08-27,accounts@keacouriers.co.nz
H:HB-11343,address differs (confirm current address),Kea Couriers Limited,,133207488,"Unit 2, 235 Rata Road, Mount Eden, Auckland 1024",T:00404214,Totara,,Kea Couriers Limited,,133207488,"235 Rata Road, Mount Eden, Auckland 1024",Active,2015-05-20,
H:HB-10662,last name differs (name change or typo),Ananya Paul Fonoti,1968-12-29,127534627,"26 Kereru Avenue, Mount Maunganui, Tauranga 3116",H:HB-10662,Harbourside,name + address,Ananya Paul Fonoti,1968-12-29,127534627,"26 Kereru Avenue, Mount Maunganui, Tauranga 3116",Active,2006-01-31,ananya.fonoti@gmail.com
H:HB-10662,last name differs (name change or typo),Ananya Paul Fonoti,1968-12-29,127534627,"26 Kereru Avenue, Mount Maunganui, Tauranga 3116",T:00400120,Totara,,Ananya Young,1968-12-29,127534627,"26 Kereru Avenue, Mount Maunganui, Tauranga 3116",Active,1994-05-30,ananya74@gmail.com
H:HB-10678,last name differs (name change or typo),Rachel Chen,1948-06-16,121413063,"218 Albert Street, Takapuna, Auckland 0622",H:HB-10678,Harbourside,name + address,Rachel Chen,1948-06-16,121413063,"218 Albert Street, Takapuna, Auckland 0622",Active,2015-02-25,rachel.chen@gmail.com
H:HB-10678,last name differs (name change or typo),Rachel Chen,1948-06-16,121413063,"218 Albert Street, Takapuna, Auckland 0622",T:00400160,Totara,,Rachel Harris,1948-06-16,,"218 Albert Street, Takapuna, Auckland 0622",Active,2020-01-01,
H:HB-10790,last name differs (name change or typo),Tane Michael MacLeod,1987-05-21,113386279,"Unit 4, 22 Victoria Road, Mornington, Dunedin 9011",H:HB-10790,Harbourside,name + address,Tane Michael MacLeod,1987-05-21,113386279,"Unit 4, 22 Victoria Road, Mornington, Dunedin 9011",Active,2020-01-12,
H:HB-10790,last name differs (name change or typo),Tane Michael MacLeod,1987-05-21,113386279,"Unit 4, 22 Victoria Road, Mornington, Dunedin 9011",T:00400545,Totara,,Tane M Malceod,1987-05-21,113386279,"Unit 4, 22 Victoria Road, Mornington, Dunedin 9011",Active,2008-11-11,
H:HB-10843,last name differs (name change or typo),Grace Lee Nguyen,1951-10-09,129259312,"50 Albert Crescent, Ponsonby, Auckland 1011",H:HB-10843,Harbourside,name + address,Grace Lee Nguyen,1951-10-09,129259312,"50 Albert Crescent, Ponsonby, Auckland 1011",Active,2015-12-12,grace.nguyen@gmail.com
H:HB-10843,last name differs (name change or typo),Grace Lee Nguyen,1951-10-09,129259312,"50 Albert Crescent, Ponsonby, Auckland 1011",T:00400673,Totara,,Grace Pohatu,1951-10-09,,"50 Albert Crescent, Ponsonby, Auckland 1011",Active,2023-06-03,grace90@hotmail.com
H:HB-11103,last name differs (name change or typo),Fiona Jane Smith,1966-03-13,124865694,"210 Harbour Terrace, Papamoa, Tauranga 3118",H:HB-11103,Harbourside,name + address,Fiona Jane Smith,1966-03-13,124865694,"210 Harbour Terrace, Papamoa, Tauranga 3118",Active,1996-09-26,
H:HB-11103,last name differs (name change or typo),Fiona Jane Smith,1966-03-13,124865694,"210 Harbour Terrace, Papamoa, Tauranga 3118",T:00401505,Totara,,Fiona Macleod,1966-03-13,124865694,"210 Harbour Terrace, Papamoa, Tauranga 3118",Active,1999-04-07,
H:HB-10651,last name differs (name change or typo); address differs (confirm current address),James Williams,1946-08-09,107596421,"153 Kowhai Terrace, St Clair, Dunedin 9012",H:HB-10651,Harbourside,name + address,James Williams,1946-08-09,107596421,"153 Kowhai Terrace, St Clair, Dunedin 9012",Active,2011-11-04,james.williams@outlook.com
H:HB-10651,last name differs (name change or typo); address differs (confirm current address),James Williams,1946-08-09,107596421,"153 Kowhai Terrace, St Clair, Dunedin 9012",T:00400081,Totara,,James Willaims,1946-08-09,107596421,"139 Tui Avenue, Chartwell, Hamilton 3210",Active,2022-11-11,james1@xtra.co.nz
H:HB-10904,last name differs (name change or typo); address differs (confirm current address),Jennifer Anne Patel,1969-09-04,125341510,"Unit 6, 159 Queen Street, St Clair, Dunedin 9012",H:HB-10904,Harbourside,name + address,Jennifer Anne Patel,1969-09-04,125341510,"Unit 6, 159 Queen Street, St Clair, Dunedin 9012",Active,2017-12-25,jennifer.patel@outlook.com
H:HB-10904,last name differs (name change or typo); address differs (confirm current address),Jennifer Anne Patel,1969-09-04,125341510,"Unit 6, 159 Queen Street, St Clair, Dunedin 9012",T:00400827,Totara,,Jennifer A Reid,1969-09-04,125341510,"78 Manuka Street, Tauranga 3118",Dormant,1998-03-16,
H:HB-10674,tax ID differs,Stephen Michael Williams,1974-02-25,109443716,"188 Matai Drive, Miramar, Wellington 6022",H:HB-10674,Harbourside,name + address,Stephen Michael Williams,1974-02-25,109443716,"188 Matai Drive, Miramar, Wellington 6022",Active,2011-03-22,stephen.williams@gmail.com
H:HB-10674,tax ID differs,Stephen Michael Williams,1974-02-25,109443716,"188 Matai Drive, Miramar, Wellington 6022",T:00400155,Totara,,Steve M Williams,1974-02-25,109443176,"188 Matai Drive, Miramar, Wellington 6022",Active,2004-10-05,steve43@hotmail.com
H:HB-10876,tax ID differs; address differs (confirm current address),Helen Lee Young,1979-05-09,126245261,"86 Park Street, Chartwell, Hamilton 3210",H:HB-10876,Harbourside,name + address,Helen Lee Young,1979-05-09,126245261,"86 Park Street, Chartwell, Hamilton 3210",Active,2023-04-24,helen.young@xtra.co.nz
H:HB-10876,tax ID differs; address differs (confirm current address),Helen Lee Young,1979-05-09,126245261,"86 Park Street, Chartwell, Hamilton 3210",T:00400789,Totara,,Helen L Young,1979-05-09,122645261,"108 Totara Road, Remuera, Auckland 1050",Active,1994-10-15,helen24@gmail.com
